"Provider not found.","параметр provider не верный."
"You logged in.","Вы уже вошли."
"Login Social disabled.","Вход через социальные сети отключен."
"Sorry, code is not passed error occurred. Please try again.","К сожалению, параметр code не верный. Пожалуйста, попробуйте снова."
"You are logged in.","Вы успешно вошли."
"Social is connected to the account.","Социальная сеть подключена к учетной записи."
"The user has been created, the e-mail sent to you with your password.","Вы зарегистрированы, вам на почту отправлен пароль."
"fb login","Войти через Facebook"
"vk login","Войти через Вконтакте"
"Social Login","Вход через социальные сети"
"Enabled","Включено"
"Welcome Email","Шаблон письма"
"Vkontakte Login","Вход через Вконтакте"
"ID App","ID приложения"
"App secret","Секретный код приложения"
"Facebook Login","Вход через Facebook"
"Secure key","Секретный код приложения"
